word,start,end,sentence,sense,pos_tag,original_sense
regard,156,162,go ahead and make your point ' about the mellow of the communist world which you be entitle to make and which other the cuban for example be entitle not to regard but be a separate angel and do n't co-opt the pope for your point of view,1,VB,heed
regard,238,244,"laughlin 's category encompass blind including those with seriously impair vision deaf including those with seriously impair hear and dependent including orphan ne'er-do-well the homeless tramp and pauper laughlin 's suggestion be better regard in nazi germany where his model act serve as a basis for the infamous and stringently enforce erbgesundheitsrecht lead by the eve of world war ii to the sterilization of some 375,000",1,NN,heed
regard,15,21,but if he have regard the advice of never let one customer become more than 40% of his business,1,VBN,heed
regard,32,38,i be unaware that the e be must regard court order he say frostily,1,VB,heed
regard,0,6,regard this advice strauss quickly set up a small pant shop on battery street,1,NN,heed
regard,43,49,this be a sign from god that she be to pay regard to her thought,1,NN,heed
regard,46,52,in show their devotion to those athlete local regard a simple rule of decor if it ai n't paint sky blue it ai n't paint,1,NN,heed
regard,243,249,other recommendation be to reduce tariff on industrial product sell by developing nation to set up new international agency to subsidize the conservation of resource and perhaps most startling new control on multinational company so that they regard the need of the country in which they do business as well as their own welfare,1,VBP,heed
regard,50,56,matthew see that the savage on his left be pay no regard to him and he do what he never would have do if the live of the two woman have not be at stake,1,NN,heed
regard,53,59,now that be advice no romantic young girl would ever regard,1,VB,heed
regard,29,35,she have probably be glad he regard an impulse even one that put her out,1,VB,heed
regard,127,133,now however his presence have a subtly disenchanting effect upon her disrupt her aura of quiet courage by refuse to pay it any regard,1,NN,heed
regard,44,50,bank with preparedness plan -- not all have regard the federal reserve 's appeal have duplicate record at other place,1,VBN,heed
regard,91,97,two hundred year early john donne have already write the following in the prohibition take regard of hate me or too much triumph in the victory not that i shall be mine own officer and hate with hate again retaliate but thou wilt lose the style of conqueror if i thy conquest perish by thy hate,1,NN,heed
regard,24,30,mr.- nixon have fail to regard his political advice,1,VB,heed
regard,9,15,tv world regard my wisdom and put these show on the air ',1,NN,heed
regard,18,24,thee know i never regard wrong about aknowing when to run,1,VB,heed
