word,start,end,sentence,sense,pos_tag
variety,34,41,she also want to tap the cultural variety in this rural city,1,NN
variety,59,66,scott berry monroe cobb teacher response to lesson plan in variety metro <nul> 7 forget race identify with best a woman who have earn a teaching job because of the color of her skin be quote as say if they want us that bad they must be willing to treat us good,1,NN
variety,95,102,maintain a healthy ecosystem rcquires protect all three level -- gcnetic species and ecosystem variety,1,NN
variety,73,80,though it only just surpass the size of the continental united state its variety be breathtaking,1,NN
variety,273,280,a fitting illustration of resilience enrichment be the disaster adaptation mechanism develop in the cayman island and facilitate climate change planning early warning system civil society and corporate mobilization social lean and organizational restructuring constitute a variety of tool that demonstrably improve the cayman island ' resilience from hurricane gilbert and mitch in 1998 to hurricane michelle in 2000 to hurricane ivan in 2004 as measure by the speed of rebuild public <nul>,1,NN
variety,68,75,instead of assume that one solution work everywhere let us plan for variety of need,1,NN
variety,94,101,far finding indicate a relationship between intolerance for ambiguity and low endorsement for variety intervention in business student,1,NN
variety,46,53,but rhodes refuse to apologize for cornell 's variety push,1,NN
variety,100,107,variation in the microscopic local motion of these primary cluster determine the seemingly infinite variety of object each of which possess in itself definite size and shape and other primary quality that impress on perceive mind such effect,1,NN
variety,111,118,yes everyone must attend sensitivity training but the service eschew the kumbaya quality typical of mainstream variety management,1,NN
variety,193,200,such evidence indicate what be at most a muted enthusiasm and in some quarter a definite lack of enthusiasm for this private member 's bill the legislative history of which underscore both the variety of regulative mechanism and agency and the fact that the law itself have a limited role in such regulation,1,NN
variety,231,238,in the culture of the united state for example idea for change can originate with any one of the many organizational ethnic business academic religious gender age professional or special interest group represent within its immense variety,1,NN
variety,74,81,varick street be emblematic of the continue struggle to preserve economic variety in a city increasingly dominate by one sector -- financial service,1,NN
variety,51,58,so even as she struggle to strike a balance in the variety of temperament and need of those who come to paranor to study the druid way she be attempt as well to find a way to resolve the,1,NN
variety,33,40,article question the make-up and variety of people on the scientific and cultural facility district organization ' board of director and staffs and people the organization serve,1,NN
variety,10,17,protect a variety of habitat -- start at home <nul>,1,NN
variety,30,37,we would n't have such a rich variety of plant and animal species,1,NN
variety,184,191,## the no child leave behind nclb act seek to correct achievement gap that be most prevalent among student in specific subgroup including those with disability linguistic and cultural variety and represent economic disadvantage,1,NN
variety,251,258,paraphrase while endorse jaspers 's argument she say the unity of mankind and its solidarity can not consist in a universal agreement upon one religion or one philosophy or one form of government but in the faith the manifold point to a oneness which variety conceal and reveal at the same <nul> she go so far as to say that if it be true that there be as the enlightenment // believe a basic human nature underlie the multiplicity of nation people race and religion then human nature would be a natural phenomenon,1,NN
variety,69,76,denhard promote employee-to-employee safety by train all employee on variety violence and worker protection,1,NN
variety,45,52,the president have often say that our ethnic variety here in america be one source of our greatest strength ... and hopefully it will be for the people of canada as well,1,NN
variety,136,143,last season 8.5 percent of major league baseball player be african american down from 18 percent in 1991 according to the institute for variety and ethics in sport,1,NN
variety,7,14,## the variety and virtuosity of artisanship be stunning in this presentation - the first major tang art show hold anywhere in 30 year,1,NN
variety,66,73,the un-named trooper also volunteer to attend a class on cultural variety official say,1,NN
variety,294,301,base on the finding of this study i have two suggestion for the policy maker to help remove the constraint on international student ' identity which the participant consider to be impose by american society because learn a different culture and language may increase american ' appreciation of variety of language and culture the american government should promote second-language curriculum and require all high school student to take one second-language course for at least two year and continue for another two year in college,1,NN
variety,169,176,because consensus on global policy h unlikely call for a division of labor on global issue usually emphasize the advantage of multiple approach and the value of exploit variety within the alliance,1,NN
variety,4,11,the variety of custom and habitat under which those people live in the past -- and in which they live today -- be one of the many possible topic for consideration in the social study classroom,1,NN
variety,10,17,seek more variety one reason for the shift be that public school system have be improve at such a rate that both boarding school and private day school have bad trouble keep up with them say henry chauncey <nul> director of university admission and financial aid policy at yale,1,NN
variety,100,107,photograph ecologist david tillman 's studles at cedar creek have show that area rich in biological variety be more resistant to problem such as,1,NN
variety,14,21,the range the variety be see in every movie come out,1,NN
variety,101,108,at this point one can argue either that there be certain preoccupation common to all man or that the variety of human environment and purpose preclude the existence of universal law of think,1,NN
variety,105,112,yet both harden into belief from which flow course of action that fail at every point to take either the variety or the uniqueness of native culture into account,1,NN
variety,70,77,first the commentator and the mourner seem to have be distract by the variety of malraux ' work and divert by the sensational and the spectacular in malraux ' life,1,NN
variety,92,99,each party have a responsibility for conservation and sustainable use of its own biological variety through its own process activity and institution,1,NN
variety,147,154,in september 1990 at what have be bill by the local press the most anticipated fashion show of the season and a paean to the richness and cultural variety that be latin america the sixth annual hispanic designer fashion show present the new collection,1,NN
variety,55,62,this can become an opportunity to really celebrate the variety of our student he say,1,NN
variety,87,94,within a fairly close community they compete with one another a competition aid by the variety of joiner active in the region,1,NN
variety,36,43,tournament final that highlight his variety and epitomize his <nul>,1,NN
variety,26,33,7 beyond the hard fact of variety however and override the detail of definition be there not for engineer a share way of approach the world a common outlook that one might call the engineering view,1,NN
variety,57,64,lebanon the state with the greatest ethnic and sectarian variety have not conduct a census since 1932 because those in power do not want to acknowledge the obvious demographic shift from a near-even split between muslim and christian to a heavily majority shi'a muslim demographic reality,1,NN
variety,127,134,1988 lack fundamental dimension of time and space some have suggest that it can be use to characterize feature such as species variety trophic dimension food-chain length trophic variety environmental attribute number of habitat interconnection among habitat biogeochemical variety and level of ecological organization population community,1,VBP
variety,179,186,1988 lack fundamental dimension of time and space some have suggest that it can be use to characterize feature such as species variety trophic dimension food-chain length trophic variety environmental attribute number of habitat interconnection among habitat biogeochemical variety and level of ecological organization population community,1,NN
variety,274,281,1988 lack fundamental dimension of time and space some have suggest that it can be use to characterize feature such as species variety trophic dimension food-chain length trophic variety environmental attribute number of habitat interconnection among habitat biogeochemical variety and level of ecological organization population community,1,NN
variety,11,18,why be the variety of data so dazzling and powerful in ulysses,1,NN
variety,111,118,until recently i think i have to choose between love a particular rural place and experience all the beautiful variety of the world,1,NN
variety,127,134,-- -- -- separate table after decade of civil right struggle and effort to raise people 's consciousness about the richness of variety - and the enlightenment to be gain from other ' culture - about half of young black and white in a new poll say it be ok if race be basically separate,1,NN
variety,12,19,however the variety of human cognitive effort be not the sole buttress to cognitive relativism,1,NN
variety,164,171,dedicate to bring the cross-cultural perspective to bear on every aspect of american life mead hope to impress policy-maker with the importance of appreciate human variety and cultural difference,1,NN
variety,30,37,while this degree of employee variety be far from widespread in the american workplace,1,NN
variety,17,24,## extraordinary variety be at the heart of conservation by design and though unite by an ecological theme the object show reveal distinctive approach,1,NN
variety,73,80,it would imply the existence of what president kennedy call the world of variety,1,NN
variety,49,56,he compare the effect of tree farm on biological variety to build a line of wal-mart over the past decade tree farm have certainly proliferate like discount chain,1,NN
variety,104,111,they can only reduce it to metaphor and no one have yet forge a metaphor rich enough to reduce american variety to form,1,NN
variety,239,246,no matter how firmly the university 's administration strive to establish clear criterion for hire the decision of departmental hiring committee be influence by subjective and personal factor by pressure to recruit faculty who reflect the variety of the student body and community and by the availability of appropriate candidate,1,NN
variety,39,46,fortunately though there be still some variety among european breed and valuable genetic resource may be tie up in less common breed such as the distinctive scottish highland and the portuguese alentejana cattle,1,NN
variety,82,89,* recovery approach be positive about cultural religious sexual and other form of variety as source of identity and belong,1,NN
variety,11,18,why be the variety of data so dazzling and powerful in ulysses,1,NN
variety,37,44,grow awareness of the complexity and variety of nature and the aspiration not just to imitate nature but,1,NN
variety,23,30,but rather than pursue variety as an end in itself kuenne say it be the natural result of a painstaking hiring process design to find people who be really really smart and really really drive,1,NN
variety,114,121,these lawsuit be oppose great gain in technology at a cost not only to the consumer but also of music quality and variety,1,NN
variety,47,54,// second the ideology of multiculturalism and variety erode the legitimacy of the remaining central element of american identity the cultural core and the american creed,1,NN
variety,31,38,the list of member reflect the variety of interest concerned about immigration include the american jewish committee the american civil liberty union the lawyer ' committee for civil right under law zero population growth the united state conference of mayor and the national association of <nul>,1,NN
variety,25,32,convention on biological variety cbd the cbd be negotiate in various session lead up to the 1992 earth summit at which over 100 nation sign the treaty,1,NN
variety,43,50,their growing presence - and the resulting variety of viewpoint - be challenge a once-small movement to figure out how inclusive it can be,1,NN
variety,184,191,ignore the fact that most letter criticize the president be repeat the erroneous claim of previous letter or democratic strategist on tv show i feel it be equally important to print a variety of opinion,1,NN
variety,90,97,so although it seem to be a contradiction in term my recommendation be to focus on create variety in your work,1,NN
variety,165,172,but if jim luby 's breeding work prove productive he say he be return to that same strawberry patch in chippewa national forest and he will be prospect for even mor variety -- maybe future wild strawberry slowly evolve to fight new challenge to their survival -- and with their survival perhaps something of our own,1,NN
variety,93,100,// several page later the author express astonishment about the way american embrace radical variety as well as frequently exemplify it,1,NN
variety,123,130,many of the active member have gravitate either to church more clearly to the right or to mainline church more tolerant of variety,1,NN
variety,4,11,the variety of iraqi society should dictate democracy and decentralization,1,NN
variety,124,131,it involve school admission base on ethnicity for previously historically discriminate group to ensure balance or encourage variety in the school,1,NN
variety,47,54,papua new guinea be well know for its cultural variety,1,NN
variety,85,92,he say the hsp90 finding be profoundly important because they show that hide genetic variety exist within species and can erupt when condition change,1,NN
variety,69,76,it be of the nature of science not so much to tolerate as to welcome variety of opinion while it insist that inquiry bring the evidence of observed fact to bear to effect a consensus of conclusion,1,NN
variety,91,98,a look at the product cuba import and export show that the problem be not simply a lack of variety in trade partner but also an undiversified export portfolio and a near total dependence on foreign supplier for strategic resource,1,NN
variety,102,109,over 70 percent of the earth be cover with water and yet very little be know about the complexity and variety of life in the ocean,1,NN
variety,98,105,one interesting discovery the best bargain by and large be in san francisco because of its ethnic variety and the density of its neighborhood,1,NN
variety,108,115,parris see salsa dance for the first time at a club in washington and immediately be strike by the cultural variety of participant,1,NN
variety,22,29,company serious about variety comb the campus of historically black college and have partnership with group like the national society of hispanic mba,1,NN
variety,35,42,they be precious and their genetic variety should be preserve and enhance,1,NN
variety,58,65,therefore it be really important that high education have variety so that we can have a much healthy educational environment give where we be,1,NN
variety,60,67,we take in tens of millions of child every year with a huge variety in talent and background and school be expect to kick them out 12 year later college-ready,1,NN
variety,29,36,we build world with too much variety know that some of our creation be,1,NN
variety,76,83,these be all half-hour series without continuing character they could use a variety of material,1,NN
variety,26,33,as part of its biological variety initiative the park service with the university of massachusetts have also recently survey all park site to determine which have fruit and nut tree,1,NN
variety,13,20,food evoke a variety of complex and often contrary concept and association among them indulgence and moderation beauty tactility and the metaphorical,1,NN
variety,154,161,this enable them to seed new ground quickly and perhaps allow them to evolve faster than their competitor advantage that may have help give rise to their variety,1,NN
variety,144,151,the national association be work towards a form of subscription that will incorporate both local and national membership and be acceptable to a variety of playgroups,1,NN
variety,228,235,mostly she keep herself in the upper stratosphere of liberationist think as in the passage below which seem to me to be depressingly characteristic of current revolutionary think utopia involve global wholeness decentralization variety human-scale post-scarcity abundance ecological soundness col-lective orientation individual control authenticity sensuality synthesis conflict pleasure hard work interdependency sadness pleasure intuition laziness contemplation anger bionics good health change death love community isolation trust ease okness awkwardness ecstasy,1,NN
variety,23,30,p81 aid you shall have variety of gift some with string tie to them some without,1,NN
variety,95,102,darwin write in my examination of orchid hardly any fact have strike me so much as the endless variety of structure -- the prodigality of resource -- for gain the very same end namely the fertilization of one flower by pollen from another plant,1,NN
variety,89,96,the clear majority of citizens-more often than not foster great opportunity tolerance of variety social mobility commitment to fairness and dedication to democracy,1,NN
variety,105,112,despite these difference in general milk production and composition be not affect by the level of forage variety soder state at the conference,1,NN
variety,121,128,such a measure would assure that the voyage could continue almost indefinitely and still preserve a semblance of genetic variety once .... if i suggest,1,NN
variety,45,52,he use cream white light brown and nature 's variety of green a range of brush stroke to achieve variety,1,NN
variety,97,104,he use cream white light brown and nature 's variety of green a range of brush stroke to achieve variety,1,NN
variety,7,14,ethnic variety can be the hallmark of a strong and prosperous society say his spokesman,1,NN
variety,130,137,more airline deficit by ' a make the public pay three way in high fare the annoyance of unnecessary flight and lose environmental variety,1,NN
variety,161,168,## the charge second degree one year ago this month on sunset boulevard after a sleepless drug-and-liquor binge john belushi be inject with a speedball a potent variety of heroin and cocaine,2,NN
variety,215,222,with uncontrollable shudder and a thin cold sweat i relive the last hour at home in oregon the hurry pack of my knapsack my mother 's frighten question my refusal to tell her what trouble i have get myself into the variety of love and fear in the eye of my sister the way they long to embrace and soothe me but draw back at the sight of the blood on my,2,NN
variety,59,66,since business be run by human being motivate by the usual variety of ambition fear compassion and greed there often be psychological reason for a company 's performance,2,NN
variety,141,148,its culture of prayer and fast as president bush reportedly fast at time during the iraq war faith-based charity boy scout moral clarity and variety of evangelical and ecumenical christianity catholic and baptists do n't usually work together say a midlander,2,NN
variety,62,69,return to mediumhigh heat and cook 2 to 3 minute or until egg variety begin to set around the edge,2,NN
variety,49,56,sketch 225 closeup - jenny 's face her face be a variety of emotion,2,NN
variety,40,47,outside the street display that special variety of grim cityscape and gaudy chinoiserie which distinguish an american chinatown and the think come of how so many chinese emigrant have be scatter over the world -- in each city form their own neighborhood and open their own shop and now perhaps all read the same news of their homeland,2,NN
variety,116,123,crank the engine during startup would give the device time enough to unleash up to 400 microsparks to fire the fuel variety at high engine speed two or three spark would be generate,2,NN
variety,10,17,rub spice variety on both side of fish steak,2,NN
variety,6,13,spoon variety into an 11- by 7-inch baking dish,2,NN
variety,11,18,cover crab variety and lime-juice variety separately chill until ready to serve,2,NN
variety,34,41,cover crab variety and lime-juice variety separately chill until ready to serve,2,NN
variety,7,14,a good variety for a raise bed be two part screen loam and one part compost manure or finely chopped organic matter with one pound per three cubic yard of,2,NN
variety,86,93,i get accidentaly in make experiment the latter by small dose of camphor and a dovers variety mrs.- watt be well and my son gregory have return from glasgow college stout and in good health load with accademical promise i have have sometimes the pleasure of hear accidentaly of your welfare but i wish for a confirmation from your own hand and also for some account of doctor hutton who i be sorry to hear have have no relief,2,NN
variety,7,14,return variety to the 9- by 13-inch pan spread level and cover tightly 6,2,NN
variety,35,42,with floured fingelips press crumb variety evenly over bottom and side of 9-inch tart pan with removable bottom,2,NN
variety,19,26,at this moment the variety of awareness and involvement be like a supersaturated solution one vibration one degree 's variance of temperature trigger irrevocable change a shockingly abrupt crystallization of potential,2,NN
variety,29,36,// curley offer an appealing variety of old and new with plain song by wright morris or be he push,2,NN
